train_idx,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
0,F,Unknown,Single,Unknown,Blue,1,3,3,1728,0.595,8554,99,0.678,0.464,1
1,F,High School,Married,Unknown,Blue,1,4,3,1803,0.493,2107,39,0.393,0.334,0
2,F,Unknown,Single,Less than $40K,Gold,6,1,3,1648,0.732,1436,36,1.25,0.103,1
3,F,Graduate,Single,Less than $40K,Blue,4,3,4,2517,1.158,2616,46,1.3,0.694,1
4,F,High School,Married,$40K - $60K,Blue,5,3,4,1926,0.602,3806,61,0.794,0.708,1
5,F,Doctorate,Married,Less than $40K,Blue,5,2,4,648,0.477,1267,27,1.077,0.451,1
6,F,Unknown,Single,Unknown,Blue,2,2,1,1934,0.873,8644,87,0.554,0.681,1
7,F,Unknown,Single,$40K - $60K,Blue,3,1,3,1560,0.894,3496,58,0.871,0.449,1
8,M,Graduate,Married,Less than $40K,Blue,3,3,2,1623,0.65,1870,51,0.275,0.636,1
9,F,Graduate,Single,Less than $40K,Blue,5,2,3,0,0.677,2200,45,0.364,0.0,0
10,M,Post-Graduate,Divorced,$60K - $80K,Blue,2,1,3,0,0.381,5660,59,0.735,0.0,0
11,M,Uneducated,Unknown,$80K - $120K,Blue,5,3,3,0,0.363,1920,53,0.472,0.0,0
12,F,Graduate,Married,Unknown,Blue,2,2,2,897,0.913,14049,120,0.714,0.039,1
13,M,Unknown,Single,$60K - $80K,Blue,3,3,3,2037,0.401,1468,36,0.241,0.304,1
14,F,High School,Married,Unknown,Silver,6,2,2,2019,0.614,3820,72,0.532,0.058,1
15,F,Graduate,Married,Less than $40K,Blue,6,2,2,2002,1.107,3803,68,0.511,0.897,1
16,M,Unknown,Married,$120K +,Blue,6,2,3,0,0.717,14977,117,0.721,0.0,1
17,M,Unknown,Single,$120K +,Blue,6,2,2,1673,0.699,2729,66,0.535,0.117,1
18,M,Post-Graduate,Single,$120K +,Blue,2,4,2,2102,0.997,1276,26,0.733,0.088,1
19,F,College,Unknown,Unknown,Blue,5,3,3,461,0.636,1955,42,0.448,0.21,0
20,F,Graduate,Unknown,Unknown,Blue,4,1,2,2082,0.915,4659,76,0.854,0.313,1
21,F,Unknown,Unknown,Less than $40K,Blue,2,1,2,1584,0.76,8852,95,0.759,0.629,1
22,F,College,Married,Less than $40K,Blue,6,3,3,0,0.868,2598,47,0.469,0.0,0
23,F,Graduate,Married,Less than $40K,Blue,3,1,4,1160,0.753,17119,124,0.797,0.182,1
24,F,Doctorate,Unknown,Less than $40K,Blue,5,2,3,0,1.006,2510,38,0.407,0.0,0
25,F,Unknown,Single,Less than $40K,Blue,3,2,3,641,0.815,3669,67,0.595,0.154,1
26,F,High School,Married,$40K - $60K,Blue,2,1,3,1868,0.688,15005,118,0.761,0.459,1
27,F,High School,Single,Less than $40K,Silver,2,5,2,0,0.788,13820,99,0.65,0.0,1
28,M,Unknown,Single,$60K - $80K,Blue,2,3,3,864,0.578,2136,54,0.8,0.056,0
29,M,Graduate,Married,$120K +,Blue,6,3,1,2048,0.776,4601,88,0.76,0.399,1
30,F,Unknown,Single,Unknown,Blue,3,3,2,0,0.897,2314,59,1.034,0.0,1
31,M,High School,Single,$40K - $60K,Blue,5,2,3,2517,0.493,1598,31,0.476,0.828,1
32,F,College,Single,Less than $40K,Blue,3,3,3,2277,0.736,4943,85,0.735,0.85,1
33,M,College,Married,$120K +,Gold,2,1,1,1464,0.689,7690,87,0.673,0.042,1
34,F,Uneducated,Single,Less than $40K,Blue,6,3,2,0,0.954,4527,66,0.61,0.0,1
35,M,High School,Married,$60K - $80K,Blue,6,3,4,1101,0.942,1872,34,1.125,0.185,1
36,F,College,Married,Less than $40K,Blue,3,1,3,691,0.878,4878,84,0.826,0.389,1
37,F,High School,Single,Less than $40K,Blue,1,1,1,0,0.856,5938,83,0.694,0.0,1
38,F,High School,Married,Unknown,Blue,5,2,2,0,0.89,1612,47,1.474,0.0,1
39,M,Post-Graduate,Single,$80K - $120K,Blue,6,2,2,1992,0.759,2514,32,0.684,0.086,1
40,F,College,Married,Less than $40K,Blue,4,1,2,0,0.759,3593,64,1.0,0.0,1
41,M,Graduate,Married,$120K +,Blue,4,5,3,2099,0.449,1756,35,0.25,0.061,1
42,M,High School,Married,$40K - $60K,Blue,4,3,2,2271,0.61,3835,60,0.818,0.867,1
43,M,High School,Married,$40K - $60K,Blue,3,3,2,1394,0.827,1588,36,0.714,0.36,1
44,F,Graduate,Single,$40K - $60K,Blue,3,1,4,0,0.528,2220,50,0.562,0.0,0
45,F,Uneducated,Single,Less than $40K,Blue,2,2,2,851,0.814,3527,69,0.816,0.117,1
46,F,Graduate,Married,$40K - $60K,Blue,2,3,1,0,0.776,15999,109,0.73,0.0,1
47,M,Unknown,Married,$80K - $120K,Blue,3,3,2,1629,1.078,3448,53,1.038,0.047,1
48,M,High School,Unknown,$60K - $80K,Blue,6,1,2,786,1.081,1640,37,0.762,0.261,1
49,M,Graduate,Single,$60K - $80K,Blue,4,2,2,947,0.682,2336,58,0.611,0.124,1
50,F,Graduate,Married,$40K - $60K,Blue,5,1,2,644,1.06,2433,41,1.158,0.103,1
51,F,Graduate,Single,Unknown,Blue,3,1,1,1259,0.806,3890,72,1.118,0.071,1
52,M,Graduate,Married,$80K - $120K,Blue,3,1,2,1400,0.779,1651,32,1.0,0.574,1
53,M,High School,Divorced,$40K - $60K,Blue,2,3,4,512,0.176,1453,26,0.13,0.035,0
54,F,Unknown,Single,Less than $40K,Blue,6,3,3,834,0.427,3892,69,0.408,0.294,1
55,M,High School,Married,$120K +,Blue,4,2,0,1005,0.568,4412,87,0.706,0.111,1
56,M,Graduate,Married,$80K - $120K,Blue,5,1,2,2052,0.5,1516,44,0.63,0.11,1
57,F,Graduate,Married,Unknown,Blue,2,3,3,0,0.919,4139,69,0.865,0.0,1
58,F,Unknown,Married,$40K - $60K,Blue,2,3,2,0,0.999,4724,60,0.395,0.0,0
59,M,Graduate,Single,$80K - $120K,Blue,5,3,2,327,0.528,1783,40,0.481,0.227,0
60,F,Uneducated,Divorced,$40K - $60K,Blue,3,2,4,1300,0.75,16078,105,0.615,0.309,1
61,M,Unknown,Divorced,$40K - $60K,Blue,4,2,3,2186,0.804,8764,69,0.683,0.511,0
62,M,Graduate,Married,$120K +,Blue,4,2,2,1344,0.523,4795,92,0.673,0.039,1
63,M,Uneducated,Married,$40K - $60K,Blue,5,3,4,847,0.436,1397,43,0.483,0.589,1
64,F,High School,Married,Unknown,Blue,4,2,1,0,0.905,4428,78,0.696,0.0,1
65,F,High School,Married,Less than $40K,Blue,5,2,1,0,0.646,4490,65,0.625,0.0,1
66,M,Graduate,Single,$80K - $120K,Blue,3,1,4,1434,0.543,5002,78,0.66,0.071,1
67,F,Unknown,Single,Unknown,Blue,5,1,0,727,0.687,1579,40,0.6,0.027,1
68,F,Graduate,Single,Unknown,Silver,1,3,3,1971,0.671,13796,121,0.833,0.061,1
